#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ANA27629.1	mgtA	59204.UQ49_00330	59204.UQ49_00325	0.476	0	0.258	0	0.407	0.293	0	0.885	0.977
ANA27629.1	ANA31263.1	59204.UQ49_00330	59204.UQ49_20690	0.211	0	0	0	0.070	0.205	0	0.109	0.410
ANA27629.1	invA	59204.UQ49_00330	59204.UQ49_18370	0	0	0	0	0	0	0	0.786	0.786
ANA27629.1	yopJ	59204.UQ49_00330	59204.UQ49_18215	0	0	0	0	0	0	0	0.789	0.789
ANA27629.1	sopB	59204.UQ49_00330	59204.UQ49_09075	0	0	0	0	0	0	0	0.814	0.814
ANA28587.1	invG_3	59204.UQ49_05825	59204.UQ49_05780	0.220	0	0.765	0	0.477	0.255	0	0.091	0.923
ANA28587.1	invF	59204.UQ49_05825	59204.UQ49_18385	0	0	0.446	0	0.046	0	0	0	0.448
ANA28587.1	prgI	59204.UQ49_05825	59204.UQ49_18255	0.077	0	0	0	0.279	0.313	0	0.131	0.549
ANA28587.1	ANA30817.1	59204.UQ49_05825	59204.UQ49_18250	0.093	0	0	0	0.311	0.313	0	0.110	0.566
ANA28587.1	spaS	59204.UQ49_05825	59204.UQ49_18325	0.073	0	0.448	0	0.085	0.210	0	0.109	0.610
ANA28587.1	ANA30838.1	59204.UQ49_05825	59204.UQ49_18360	0.061	0	0.561	0	0.281	0	0	0.074	0.688
ANA28587.1	prgH	59204.UQ49_05825	59204.UQ49_18260	0.088	0	0	0	0.294	0.554	0	0.180	0.733
ANA28587.1	spaO	59204.UQ49_05825	59204.UQ49_18345	0.098	0	0.480	0	0.429	0	0	0.130	0.735
ANA28587.1	sicA	59204.UQ49_05825	59204.UQ49_18320	0.051	0	0.736	0	0.262	0	0	0.041	0.798
ANA28587.1	spaP	59204.UQ49_05825	59204.UQ49_18340	0.078	0	0.397	0	0.592	0.313	0	0.109	0.835
ANA28587.1	invA	59204.UQ49_05825	59204.UQ49_18370	0.072	0	0.509	0	0.590	0.235	0	0.091	0.846
ANA28587.1	invG	59204.UQ49_05825	59204.UQ49_18380	0.072	0	0.728	0	0.477	0.313	0	0.109	0.904
