#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
SBV49760.1	SBV51254.1	56449.XBLMG947_0534	56449.XBLMG947_2041	0.108	0	0	0	0.354	0	0	0.100	0.436
SBV49760.1	SBV51242.1	56449.XBLMG947_0534	56449.XBLMG947_2029	0.065	0	0	0	0.455	0	0	0.069	0.484
SBV49760.1	SBV53307.1	56449.XBLMG947_0534	56449.XBLMG947_4131	0.065	0	0	0	0.455	0	0	0.069	0.484
SBV49760.1	SBV50058.1	56449.XBLMG947_0534	56449.XBLMG947_0834	0.065	0	0	0	0.455	0	0	0.069	0.484
SBV49760.1	SBV53170.1	56449.XBLMG947_0534	56449.XBLMG947_3980	0.065	0	0	0	0.455	0	0	0.069	0.484
SBV49760.1	SBV51017.1	56449.XBLMG947_0534	56449.XBLMG947_1800	0.082	0	0	0	0.455	0	0	0.103	0.512
SBV49760.1	SBV51246.1	56449.XBLMG947_0534	56449.XBLMG947_2033	0.087	0	0	0	0.455	0	0	0.107	0.516
SBV49760.1	SBV51248.1	56449.XBLMG947_0534	56449.XBLMG947_2035	0.108	0	0	0	0.671	0.549	0	0.206	0.880
SBV49760.1	SBV51252.1	56449.XBLMG947_0534	56449.XBLMG947_2039	0.108	0	0	0	0.680	0.672	0	0.206	0.915
SBV49760.1	SBV51244.1	56449.XBLMG947_0534	56449.XBLMG947_2031	0.108	0	0	0	0.680	0.672	0	0.206	0.915
SBV49760.1	SBV51257.1	56449.XBLMG947_0534	56449.XBLMG947_2044	0.108	0	0	0	0.685	0.672	0	0.206	0.917
SBV49760.1	SBV51245.1	56449.XBLMG947_0534	56449.XBLMG947_2032	0.108	0	0	0	0.752	0.672	0	0.206	0.934
SBV50058.1	SBV49760.1	56449.XBLMG947_0834	56449.XBLMG947_0534	0.065	0	0	0	0.455	0	0	0.069	0.484
SBV50058.1	SBV51258.1	56449.XBLMG947_0834	56449.XBLMG947_2045	0.065	0	0	0	0.455	0	0	0.069	0.484
SBV50058.1	SBV51017.1	56449.XBLMG947_0834	56449.XBLMG947_1800	0.065	0	0	0	0.450	0.172	0	0.069	0.550
SBV50058.1	SBV51246.1	56449.XBLMG947_0834	56449.XBLMG947_2033	0.065	0	0	0	0.450	0.172	0	0.069	0.550
SBV50058.1	SBV51245.1	56449.XBLMG947_0834	56449.XBLMG947_2032	0.082	0	0	0	0.562	0	0	0.076	0.596
SBV50058.1	SBV51244.1	56449.XBLMG947_0834	56449.XBLMG947_2031	0.082	0	0.207	0	0.511	0	0	0.075	0.626
SBV50058.1	SBV51257.1	56449.XBLMG947_0834	56449.XBLMG947_2044	0.082	0	0.177	0	0.590	0	0	0.095	0.682
SBV50058.1	SBV51252.1	56449.XBLMG947_0834	56449.XBLMG947_2039	0.082	0	0	0	0.667	0	0	0.100	0.700
SBV50058.1	SBV51248.1	56449.XBLMG947_0834	56449.XBLMG947_2035	0.082	0	0	0	0.683	0	0	0.102	0.715
SBV50199.1	SBV50200.1	56449.XBLMG947_0976	56449.XBLMG947_0977	0.563	0	0	0	0	0	0	0	0.563
SBV50200.1	SBV50199.1	56449.XBLMG947_0977	56449.XBLMG947_0976	0.563	0	0	0	0	0	0	0	0.563
SBV50200.1	SBV51248.1	56449.XBLMG947_0977	56449.XBLMG947_2035	0	0	0.212	0	0.336	0	0	0	0.454
SBV50200.1	SBV51252.1	56449.XBLMG947_0977	56449.XBLMG947_2039	0	0	0.466	0	0.074	0	0	0	0.484
SBV50200.1	SBV51944.1	56449.XBLMG947_0977	56449.XBLMG947_2734	0	0	0.562	0	0	0	0	0	0.562
SBV50200.1	SBV51258.1	56449.XBLMG947_0977	56449.XBLMG947_2045	0.049	0	0.605	0	0.049	0	0	0	0.611
SBV50200.1	SBV51260.1	56449.XBLMG947_0977	56449.XBLMG947_2047	0	0	0.614	0	0	0	0	0	0.614
SBV50200.1	SBV51244.1	56449.XBLMG947_0977	56449.XBLMG947_2031	0	0	0.601	0	0.101	0	0	0	0.625
SBV50200.1	SBV51257.1	56449.XBLMG947_0977	56449.XBLMG947_2044	0	0	0.586	0	0.187	0	0	0	0.649
SBV50480.1	SBV51944.1	56449.XBLMG947_1260	56449.XBLMG947_2734	0	0	0.534	0	0	0	0	0.045	0.535
SBV50735.1	SBV50736.1	56449.XBLMG947_1517	56449.XBLMG947_1518	0.739	0	0	0	0	0.999	0	0	0.999
SBV50736.1	SBV50735.1	56449.XBLMG947_1518	56449.XBLMG947_1517	0.739	0	0	0	0	0.999	0	0	0.999
SBV50755.1	SBV51010.1	56449.XBLMG947_1537	56449.XBLMG947_1793	0	0	0	0	0	0.560	0	0	0.560
SBV50971.1	SBV52070.1	56449.XBLMG947_1754	56449.XBLMG947_2860	0.055	0	0	0	0.446	0	0	0	0.454
SBV50971.1	SBV51248.1	56449.XBLMG947_1754	56449.XBLMG947_2035	0	0	0.508	0	0	0	0	0	0.508
SBV50971.1	SBV51245.1	56449.XBLMG947_1754	56449.XBLMG947_2032	0	0	0.544	0	0	0	0	0	0.544
