#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
hpaB	hrpD	267608.RSp0853	267608.RSp0871	0.176	0	0	0	0	0	0	0	0.176
hpaB	hrpB	267608.RSp0853	267608.RSp0873	0.157	0	0	0	0	0	0	0.089	0.199
hpaB	hrpK	267608.RSp0853	267608.RSp0865	0.181	0	0	0	0	0	0	0.068	0.204
hpaB	hrpH	267608.RSp0853	267608.RSp0868	0.176	0	0	0	0	0	0	0.088	0.217
hpaB	hrpJ	267608.RSp0853	267608.RSp0866	0.176	0	0	0	0	0	0	0.101	0.228
hpaB	hrpV	267608.RSp0853	267608.RSp0858	0.255	0	0	0	0	0	0	0	0.255
hpaB	hrpX	267608.RSp0853	267608.RSp0856	0.279	0	0	0	0	0	0	0	0.279
hpaB	hrpY	267608.RSp0853	267608.RSp0855	0.387	0	0	0	0	0	0	0	0.387
hpaB	hrcS	267608.RSp0853	267608.RSp0859	0.293	0	0	0	0	0	0	0.386	0.548
hpaB	hrcR	267608.RSp0853	267608.RSp0860	0.310	0	0	0	0	0	0	0.407	0.574
hpaB	hrcJ	267608.RSp0853	267608.RSp0867	0.176	0	0	0	0	0	0	0.525	0.592
hpaB	hrcT	267608.RSp0853	267608.RSp0872	0.175	0	0	0	0	0	0	0.563	0.624
hpaB	hrpZ	267608.RSp0853	267608.RSp0854	0.645	0	0	0	0	0	0	0	0.645
hpaB	hrcC	267608.RSp0853	267608.RSp0874	0.146	0	0	0	0	0	0	0.618	0.660
hpaB	hpaP	267608.RSp0853	267608.RSp0862	0.301	0	0	0	0	0	0	0.643	0.740
hpaB	hrcV	267608.RSp0853	267608.RSp0863	0.271	0	0	0	0	0	0	0.744	0.806
hpaP	hpaB	267608.RSp0862	267608.RSp0853	0.301	0	0	0	0	0	0	0.643	0.740
hpaP	hrpZ	267608.RSp0862	267608.RSp0854	0.275	0	0	0	0	0	0	0	0.275
hpaP	hrpY	267608.RSp0862	267608.RSp0855	0.419	0	0	0	0	0	0	0.384	0.627
hpaP	hrpX	267608.RSp0862	267608.RSp0856	0.633	0	0	0	0	0	0	0	0.633
hpaP	hrpV	267608.RSp0862	267608.RSp0858	0.732	0	0	0	0	0	0	0.385	0.828
hpaP	hrcS	267608.RSp0862	267608.RSp0859	0.770	0	0	0	0	0	0	0.545	0.891
hpaP	hrcR	267608.RSp0862	267608.RSp0860	0.770	0	0	0	0	0	0	0.408	0.858
hpaP	hrpB	267608.RSp0862	267608.RSp0873	0.262	0	0	0	0	0	0	0	0.262
hpaP	hrpD	267608.RSp0862	267608.RSp0871	0.373	0	0	0	0	0	0	0	0.373
hpaP	hrpH	267608.RSp0862	267608.RSp0868	0.373	0	0	0	0	0	0	0.096	0.409
hpaP	hrpK	267608.RSp0862	267608.RSp0865	0.400	0	0	0	0	0	0	0.099	0.437
