#node	identifier	category	term ID	term description
AKZ49659.1	1314.SD89_00645	STRING clusters	CL:1570	Mixed, incl. DNA-mediated transformation, and DNA modification
AKZ49659.1	1314.SD89_00645	STRING clusters	CL:1571	Mixed, incl. DNA-mediated transformation, and DNA modification
AKZ49659.1	1314.SD89_00645	STRING clusters	CL:1573	DNA-mediated transformation, and Secretion
AKZ49659.1	1314.SD89_00645	Pfam	PF06279	Protein of unknown function (DUF1033)
AKZ49659.1	1314.SD89_00645	InterPro	IPR010434	Protein of unknown function DUF1033
AKZ49664.1	1314.SD89_00670	GO Process	GO:0006810	Transport
AKZ49664.1	1314.SD89_00670	GO Process	GO:0008104	Protein localization
AKZ49664.1	1314.SD89_00670	GO Process	GO:0009306	Protein secretion
AKZ49664.1	1314.SD89_00670	GO Process	GO:0009987	Cellular process
AKZ49664.1	1314.SD89_00670	GO Process	GO:0015031	Protein transport
AKZ49664.1	1314.SD89_00670	GO Process	GO:0015628	Protein secretion by the type II secretion system
AKZ49664.1	1314.SD89_00670	GO Process	GO:0032940	Secretion by cell
AKZ49664.1	1314.SD89_00670	GO Process	GO:0033036	Macromolecule localization
AKZ49664.1	1314.SD89_00670	GO Process	GO:0035592	Establishment of protein localization to extracellular region
AKZ49664.1	1314.SD89_00670	GO Process	GO:0045184	Establishment of protein localization
AKZ49664.1	1314.SD89_00670	GO Process	GO:0046903	Secretion
AKZ49664.1	1314.SD89_00670	GO Process	GO:0051179	Localization
AKZ49664.1	1314.SD89_00670	GO Process	GO:0051234	Establishment of localization
AKZ49664.1	1314.SD89_00670	GO Process	GO:0051641	Cellular localization
AKZ49664.1	1314.SD89_00670	GO Process	GO:0055085	Transmembrane transport
AKZ49664.1	1314.SD89_00670	GO Process	GO:0070727	Cellular macromolecule localization
AKZ49664.1	1314.SD89_00670	GO Process	GO:0071692	Protein localization to extracellular region
AKZ49664.1	1314.SD89_00670	GO Process	GO:0071702	Organic substance transport
AKZ49664.1	1314.SD89_00670	GO Process	GO:0071705	Nitrogen compound transport
AKZ49664.1	1314.SD89_00670	GO Process	GO:0071806	Protein transmembrane transport
AKZ49664.1	1314.SD89_00670	GO Process	GO:0098776	Protein transport across the cell outer membrane
AKZ49664.1	1314.SD89_00670	GO Process	GO:0140352	Export from cell
AKZ49664.1	1314.SD89_00670	GO Function	GO:0005488	Binding
AKZ49664.1	1314.SD89_00670	GO Component	GO:0016020	Membrane
AKZ49664.1	1314.SD89_00670	GO Component	GO:0016021	Integral component of membrane
AKZ49664.1	1314.SD89_00670	GO Component	GO:0031224	Intrinsic component of membrane
AKZ49664.1	1314.SD89_00670	GO Component	GO:0110165	Cellular anatomical entity
AKZ49664.1	1314.SD89_00670	STRING clusters	CL:1570	Mixed, incl. DNA-mediated transformation, and DNA modification
AKZ49664.1	1314.SD89_00670	STRING clusters	CL:1571	Mixed, incl. DNA-mediated transformation, and DNA modification
AKZ49664.1	1314.SD89_00670	STRING clusters	CL:1573	DNA-mediated transformation, and Secretion
AKZ49664.1	1314.SD89_00670	STRING clusters	CL:1576	Protein transport across the cell outer membrane, and Establishment of competence for transformation
AKZ49664.1	1314.SD89_00670	UniProt Keywords	KW-0732	Signal
AKZ49664.1	1314.SD89_00670	Pfam	PF11773	Type II secretory pathway pseudopilin 
AKZ49664.1	1314.SD89_00670	InterPro	IPR021749	Competence system putative prepilin ComGE
AKZ49753.1	1314.SD89_01145	GO Process	GO:0006355	Regulation of transcription, DNA-templated
AKZ49753.1	1314.SD89_01145	GO Process	GO:0009889	Regulation of biosynthetic process
AKZ49753.1	1314.SD89_01145	GO Process	GO:0010468	Regulation of gene expression
AKZ49753.1	1314.SD89_01145	GO Process	GO:0010556	Regulation of macromolecule biosynthetic process
AKZ49753.1	1314.SD89_01145	GO Process	GO:0019219	Regulation of nucleobase-containing compound metabolic process
AKZ49753.1	1314.SD89_01145	GO Process	GO:0019222	Regulation of metabolic process
AKZ49753.1	1314.SD89_01145	GO Process	GO:0031323	Regulation of cellular metabolic process
AKZ49753.1	1314.SD89_01145	GO Process	GO:0031326	Regulation of cellular biosynthetic process
AKZ49753.1	1314.SD89_01145	GO Process	GO:0050789	Regulation of biological process
AKZ49753.1	1314.SD89_01145	GO Process	GO:0050794	Regulation of cellular process
AKZ49753.1	1314.SD89_01145	GO Process	GO:0051171	Regulation of nitrogen compound metabolic process
AKZ49753.1	1314.SD89_01145	GO Process	GO:0051252	Regulation of RNA metabolic process
AKZ49753.1	1314.SD89_01145	GO Process	GO:0060255	Regulation of macromolecule metabolic process
AKZ49753.1	1314.SD89_01145	GO Process	GO:0065007	Biological regulation
AKZ49753.1	1314.SD89_01145	GO Process	GO:0080090	Regulation of primary metabolic process
AKZ49753.1	1314.SD89_01145	GO Process	GO:1903506	Regulation of nucleic acid-templated transcription
AKZ49753.1	1314.SD89_01145	GO Process	GO:2001141	Regulation of RNA biosynthetic process
AKZ49753.1	1314.SD89_01145	GO Function	GO:0003700	DNA-binding transcription factor activity
AKZ49753.1	1314.SD89_01145	GO Function	GO:0140110	Transcription regulator activity
AKZ49753.1	1314.SD89_01145	GO Component	GO:0005622	Intracellular anatomical structure
AKZ49753.1	1314.SD89_01145	GO Component	GO:0005737	Cytoplasm
AKZ49753.1	1314.SD89_01145	GO Component	GO:0110165	Cellular anatomical entity
AKZ49753.1	1314.SD89_01145	STRING clusters	CL:2501	Mixed, incl. DNA-binding HTH domain, TetR-type, and HAD superfamily
AKZ49753.1	1314.SD89_01145	STRING clusters	CL:2502	Mostly uncharacterized, incl. Domain of unknown function DUF2179, and Type 1 protein exporter
AKZ49753.1	1314.SD89_01145	STRING clusters	CL:2538	Mixed, incl. Type 1 protein exporter, and Receptor
AKZ49753.1	1314.SD89_01145	STRING clusters	CL:2540	Type 1 protein exporter, and Ribonuclease HII/HIII
AKZ49753.1	1314.SD89_01145	COMPARTMENTS	GOCC:0005622	Intracellular
AKZ49753.1	1314.SD89_01145	COMPARTMENTS	GOCC:0005737	Cytoplasm
AKZ49753.1	1314.SD89_01145	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
AKZ49753.1	1314.SD89_01145	UniProt Keywords	KW-0175	Coiled coil
AKZ49753.1	1314.SD89_01145	InterPro	IPR000835	MarR-type HTH domain
AKZ49753.1	1314.SD89_01145	InterPro	IPR036388	Winged helix-like DNA-binding domain superfamily
AKZ49753.1	1314.SD89_01145	InterPro	IPR036390	Winged helix DNA-binding domain superfamily
AKZ49753.1	1314.SD89_01145	SMART	SM00347	Helix_turn_helix multiple antibiotic resistance protein
AKZ49866.1	1314.SD89_01775	STRING clusters	CL:2151	Mixed, incl. Phosphorelay signal transduction system, and Extracellular region
AKZ49866.1	1314.SD89_01775	STRING clusters	CL:2152	Mixed, incl. Phosphorelay signal transduction system, and Toxin activity
