#node	identifier	category	term ID	term description
ANA27629.1	59204.UQ49_00330	GO Component	GO:0005886	Plasma membrane
ANA27629.1	59204.UQ49_00330	GO Component	GO:0016020	Membrane
ANA27629.1	59204.UQ49_00330	GO Component	GO:0016021	Integral component of membrane
ANA27629.1	59204.UQ49_00330	GO Component	GO:0031224	Intrinsic component of membrane
ANA27629.1	59204.UQ49_00330	GO Component	GO:0071944	Cell periphery
ANA27629.1	59204.UQ49_00330	GO Component	GO:0110165	Cellular anatomical entity
ANA27629.1	59204.UQ49_00330	STRING clusters	CL:3465	Polysaccharide biosynthetic process, and Lipopolysaccharide biosynthesis
ANA27629.1	59204.UQ49_00330	STRING clusters	CL:3673	Glycolipid biosynthetic process, and Magnesium ion transport
ANA27629.1	59204.UQ49_00330	STRING clusters	CL:3713	Magnesium ion transport, and Response to peptide
ANA27629.1	59204.UQ49_00330	COMPARTMENTS	GOCC:0005886	Plasma membrane
ANA27629.1	59204.UQ49_00330	COMPARTMENTS	GOCC:0016020	Membrane
ANA27629.1	59204.UQ49_00330	COMPARTMENTS	GOCC:0071944	Cell periphery
ANA27629.1	59204.UQ49_00330	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
ANA27629.1	59204.UQ49_00330	UniProt Keywords	KW-0472	Membrane
ANA27629.1	59204.UQ49_00330	UniProt Keywords	KW-0812	Transmembrane
ANA27629.1	59204.UQ49_00330	UniProt Keywords	KW-0997	Cell inner membrane
ANA27629.1	59204.UQ49_00330	UniProt Keywords	KW-1003	Cell membrane
ANA27629.1	59204.UQ49_00330	UniProt Keywords	KW-1133	Transmembrane helix
ANA27629.1	59204.UQ49_00330	Pfam	PF02308	MgtC family
ANA27629.1	59204.UQ49_00330	InterPro	IPR003416	MgtC/SapB/SrpB/YhiD family
ANA28587.1	59204.UQ49_05825	GO Process	GO:0006810	Transport
ANA28587.1	59204.UQ49_05825	GO Process	GO:0008104	Protein localization
ANA28587.1	59204.UQ49_05825	GO Process	GO:0009306	Protein secretion
ANA28587.1	59204.UQ49_05825	GO Process	GO:0009987	Cellular process
ANA28587.1	59204.UQ49_05825	GO Process	GO:0015031	Protein transport
ANA28587.1	59204.UQ49_05825	GO Process	GO:0032940	Secretion by cell
ANA28587.1	59204.UQ49_05825	GO Process	GO:0033036	Macromolecule localization
ANA28587.1	59204.UQ49_05825	GO Process	GO:0035592	Establishment of protein localization to extracellular region
ANA28587.1	59204.UQ49_05825	GO Process	GO:0045184	Establishment of protein localization
ANA28587.1	59204.UQ49_05825	GO Process	GO:0046903	Secretion
ANA28587.1	59204.UQ49_05825	GO Process	GO:0051179	Localization
ANA28587.1	59204.UQ49_05825	GO Process	GO:0051234	Establishment of localization
ANA28587.1	59204.UQ49_05825	GO Process	GO:0051641	Cellular localization
ANA28587.1	59204.UQ49_05825	GO Process	GO:0070727	Cellular macromolecule localization
ANA28587.1	59204.UQ49_05825	GO Process	GO:0071692	Protein localization to extracellular region
ANA28587.1	59204.UQ49_05825	GO Process	GO:0071702	Organic substance transport
ANA28587.1	59204.UQ49_05825	GO Process	GO:0071705	Nitrogen compound transport
ANA28587.1	59204.UQ49_05825	GO Process	GO:0140352	Export from cell
ANA28587.1	59204.UQ49_05825	GO Component	GO:0009279	Cell outer membrane
ANA28587.1	59204.UQ49_05825	GO Component	GO:0016020	Membrane
ANA28587.1	59204.UQ49_05825	GO Component	GO:0016021	Integral component of membrane
ANA28587.1	59204.UQ49_05825	GO Component	GO:0019867	Outer membrane
ANA28587.1	59204.UQ49_05825	GO Component	GO:0030312	External encapsulating structure
ANA28587.1	59204.UQ49_05825	GO Component	GO:0030313	Cell envelope
ANA28587.1	59204.UQ49_05825	GO Component	GO:0031224	Intrinsic component of membrane
ANA28587.1	59204.UQ49_05825	GO Component	GO:0031975	Envelope
ANA28587.1	59204.UQ49_05825	GO Component	GO:0071944	Cell periphery
ANA28587.1	59204.UQ49_05825	GO Component	GO:0110165	Cellular anatomical entity
ANA28587.1	59204.UQ49_05825	STRING clusters	CL:5282	Mixed, incl. Secretion, and Salmonella infection
ANA28587.1	59204.UQ49_05825	STRING clusters	CL:5283	Mixed, incl. Secretion, and Salmonella infection
ANA28587.1	59204.UQ49_05825	STRING clusters	CL:5375	Secretion, and Type III secretion system subunit
ANA28587.1	59204.UQ49_05825	STRING clusters	CL:5432	Bacterial secretion system, and Coiled coil
ANA28587.1	59204.UQ49_05825	KEGG	map03070	Bacterial secretion system
ANA28587.1	59204.UQ49_05825	COMPARTMENTS	GOCC:0030257	Type III protein secretion system complex
ANA28587.1	59204.UQ49_05825	COMPARTMENTS	GOCC:0032991	Protein-containing complex
ANA28587.1	59204.UQ49_05825	COMPARTMENTS	GOCC:0042597	Periplasmic space
ANA28587.1	59204.UQ49_05825	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
ANA28587.1	59204.UQ49_05825	UniProt Keywords	KW-0449	Lipoprotein
ANA28587.1	59204.UQ49_05825	UniProt Keywords	KW-0472	Membrane
ANA28587.1	59204.UQ49_05825	UniProt Keywords	KW-0564	Palmitate
ANA28587.1	59204.UQ49_05825	UniProt Keywords	KW-0732	Signal
ANA28587.1	59204.UQ49_05825	UniProt Keywords	KW-0812	Transmembrane
ANA28587.1	59204.UQ49_05825	UniProt Keywords	KW-0998	Cell outer membrane
ANA28587.1	59204.UQ49_05825	UniProt Keywords	KW-1133	Transmembrane helix
ANA28587.1	59204.UQ49_05825	Pfam	PF01514	Secretory protein of YscJ/FliF family
ANA28587.1	59204.UQ49_05825	InterPro	IPR003282	Type III secretion system lipoprotein HrcJ/YscJ
ANA28587.1	59204.UQ49_05825	InterPro	IPR006182	Flagellar M-ring , N-terminal
ANA28587.1	59204.UQ49_05825	InterPro	IPR043427	Lipoprotein YscJ/Flagellar M-ring protein
ANA28587.1	59204.UQ49_05825	InterPro	IPR045851	AMP-binding enzyme, C-terminal domain superfamily
ANA29994.1	59204.UQ49_13665	GO Process	GO:0006996	Organelle organization
ANA29994.1	59204.UQ49_13665	GO Process	GO:0007010	Cytoskeleton organization
ANA29994.1	59204.UQ49_13665	GO Process	GO:0009987	Cellular process
ANA29994.1	59204.UQ49_13665	GO Process	GO:0016043	Cellular component organization
ANA29994.1	59204.UQ49_13665	GO Process	GO:0030029	Actin filament-based process
ANA29994.1	59204.UQ49_13665	GO Process	GO:0030036	Actin cytoskeleton organization
ANA29994.1	59204.UQ49_13665	GO Process	GO:0031532	Actin cytoskeleton reorganization
ANA29994.1	59204.UQ49_13665	GO Process	GO:0043085	Positive regulation of catalytic activity
ANA29994.1	59204.UQ49_13665	GO Process	GO:0043087	Regulation of GTPase activity
ANA29994.1	59204.UQ49_13665	GO Process	GO:0043547	Positive regulation of GTPase activity
ANA29994.1	59204.UQ49_13665	GO Process	GO:0044093	Positive regulation of molecular function
ANA29994.1	59204.UQ49_13665	GO Process	GO:0050790	Regulation of catalytic activity
ANA29994.1	59204.UQ49_13665	GO Process	GO:0051336	Regulation of hydrolase activity
ANA29994.1	59204.UQ49_13665	GO Process	GO:0051345	Positive regulation of hydrolase activity
ANA29994.1	59204.UQ49_13665	GO Process	GO:0065007	Biological regulation
ANA29994.1	59204.UQ49_13665	GO Process	GO:0065009	Regulation of molecular function
ANA29994.1	59204.UQ49_13665	GO Process	GO:0071840	Cellular component organization or biogenesis
ANA29994.1	59204.UQ49_13665	GO Process	GO:0090630	Activation of GTPase activity
ANA29994.1	59204.UQ49_13665	GO Function	GO:0005085	Guanyl-nucleotide exchange factor activity
ANA29994.1	59204.UQ49_13665	GO Function	GO:0005096	GTPase activator activity
ANA29994.1	59204.UQ49_13665	GO Function	GO:0008047	Enzyme activator activity
ANA29994.1	59204.UQ49_13665	GO Function	GO:0030234	Enzyme regulator activity
ANA29994.1	59204.UQ49_13665	GO Function	GO:0030695	GTPase regulator activity
ANA29994.1	59204.UQ49_13665	GO Function	GO:0060589	Nucleoside-triphosphatase regulator activity
ANA29994.1	59204.UQ49_13665	GO Function	GO:0098772	Molecular function regulator activity
ANA29994.1	59204.UQ49_13665	GO Component	GO:0005576	Extracellular region
ANA29994.1	59204.UQ49_13665	GO Component	GO:0110165	Cellular anatomical entity
ANA29994.1	59204.UQ49_13665	STRING clusters	CL:5282	Mixed, incl. Secretion, and Salmonella infection
ANA29994.1	59204.UQ49_13665	STRING clusters	CL:5283	Mixed, incl. Secretion, and Salmonella infection
ANA29994.1	59204.UQ49_13665	STRING clusters	CL:5284	Mixed, incl. Salmonella infection, and Protein secretion by the type III secretion system
ANA29994.1	59204.UQ49_13665	STRING clusters	CL:5286	Mixed, incl. Bacterial invasion of epithelial cells, and Protein secretion by the type III secretion system
ANA29994.1	59204.UQ49_13665	STRING clusters	CL:5289	Mixed, incl. Bacterial invasion of epithelial cells, and Type III protein secretion system complex
ANA29994.1	59204.UQ49_13665	KEGG	map05100	Bacterial invasion of epithelial cells
ANA29994.1	59204.UQ49_13665	KEGG	map05132	Salmonella infection
ANA29994.1	59204.UQ49_13665	COMPARTMENTS	GOCC:0005576	Extracellular region
