#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABD29433.1	esxA	93061.SAOUHSC_00259	93061.SAOUHSC_00257	0.639	0	0	0	0	0	0	0.174	0.690
ABD29433.1	esaA	93061.SAOUHSC_00259	93061.SAOUHSC_00258	0.856	0	0	0	0	0	0	0.377	0.906
ABD29433.1	essG	93061.SAOUHSC_00259	93061.SAOUHSC_00269	0.548	0	0	0	0	0	0	0	0.548
ABD29433.1	essD	93061.SAOUHSC_00259	93061.SAOUHSC_00268	0.559	0	0	0	0	0	0	0	0.559
ABD29433.1	ABD29440.1	93061.SAOUHSC_00259	93061.SAOUHSC_00267	0.567	0	0	0	0	0	0	0	0.567
ABD29433.1	esxB	93061.SAOUHSC_00259	93061.SAOUHSC_00265	0.567	0	0	0	0	0	0	0	0.567
ABD29433.1	essE	93061.SAOUHSC_00259	93061.SAOUHSC_00266	0.567	0	0	0	0	0	0	0	0.567
ABD29433.1	ABD29437.1	93061.SAOUHSC_00259	93061.SAOUHSC_00264	0.597	0	0	0	0	0	0	0	0.597
ABD29433.1	ABD29434.1	93061.SAOUHSC_00259	93061.SAOUHSC_00260	0.856	0	0	0	0	0	0	0.169	0.875
ABD29433.1	essC	93061.SAOUHSC_00259	93061.SAOUHSC_00262	0.815	0	0	0	0	0	0	0.377	0.880
ABD29433.1	essB	93061.SAOUHSC_00259	93061.SAOUHSC_00261	0.844	0	0	0	0	0	0	0.372	0.898
ABD29434.1	esxA	93061.SAOUHSC_00260	93061.SAOUHSC_00257	0.639	0	0	0	0	0	0	0.169	0.688
ABD29434.1	esaA	93061.SAOUHSC_00260	93061.SAOUHSC_00258	0.856	0	0	0	0.110	0	0	0.122	0.878
ABD29434.1	ABD29433.1	93061.SAOUHSC_00260	93061.SAOUHSC_00259	0.856	0	0	0	0	0	0	0.169	0.875
ABD29434.1	rot	93061.SAOUHSC_00260	93061.SAOUHSC_01879	0	0	0	0	0	0	0	0.450	0.450
ABD29434.1	essG	93061.SAOUHSC_00260	93061.SAOUHSC_00269	0.548	0	0	0	0.052	0	0	0	0.553
ABD29434.1	ABD29440.1	93061.SAOUHSC_00260	93061.SAOUHSC_00267	0.567	0	0	0	0	0	0	0	0.567
ABD29434.1	essE	93061.SAOUHSC_00260	93061.SAOUHSC_00266	0.567	0	0	0	0	0	0	0	0.567
ABD29434.1	essD	93061.SAOUHSC_00260	93061.SAOUHSC_00268	0.572	0	0	0	0.057	0	0	0	0.580
ABD29434.1	esxB	93061.SAOUHSC_00260	93061.SAOUHSC_00265	0.567	0	0	0	0	0	0	0.292	0.680
ABD29434.1	ABD29437.1	93061.SAOUHSC_00260	93061.SAOUHSC_00264	0.597	0	0	0	0	0	0	0.613	0.837
ABD29434.1	essC	93061.SAOUHSC_00260	93061.SAOUHSC_00262	0.815	0	0	0	0.096	0	0	0.169	0.849
ABD29434.1	essB	93061.SAOUHSC_00260	93061.SAOUHSC_00261	0.844	0	0	0	0.402	0	0	0.205	0.919
ABD29437.1	esxA	93061.SAOUHSC_00264	93061.SAOUHSC_00257	0.434	0	0	0	0	0	0	0	0.434
ABD29437.1	esaA	93061.SAOUHSC_00264	93061.SAOUHSC_00258	0.597	0	0	0	0	0	0	0	0.597
ABD29437.1	ABD29433.1	93061.SAOUHSC_00264	93061.SAOUHSC_00259	0.597	0	0	0	0	0	0	0	0.597
ABD29437.1	ABD29434.1	93061.SAOUHSC_00264	93061.SAOUHSC_00260	0.597	0	0	0	0	0	0	0.613	0.837
ABD29437.1	essB	93061.SAOUHSC_00264	93061.SAOUHSC_00261	0.617	0	0	0	0	0	0	0	0.617
