#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
VC_0097	VC_0400	243277.VC_0097	243277.VC_0400	0	0	0.402	0	0	0	0	0	0.402
VC_0097	epsM	243277.VC_0097	243277.VC_2724	0	0	0.429	0	0	0	0	0	0.429
VC_0097	VC_0411	243277.VC_0097	243277.VC_0411	0	0	0.478	0	0	0	0	0	0.478
VC_0097	fliS	243277.VC_0097	243277.VC_2138	0.097	0	0.154	0	0.627	0	0	0.168	0.731
VC_0097	fliD	243277.VC_0097	243277.VC_2140	0.097	0	0.157	0	0.639	0	0	0.168	0.740
VC_0097	VC_2127	243277.VC_0097	243277.VC_2127	0	0	0.758	0	0	0	0	0.067	0.764
VC_0097	VC_2190	243277.VC_0097	243277.VC_2190	0.073	0	0.390	0	0.610	0	0	0.163	0.790
VC_0097	VC_2130	243277.VC_0097	243277.VC_2130	0.097	0	0	0	0.754	0	0	0.154	0.795
VC_0097	VC_2195	243277.VC_0097	243277.VC_2195	0.097	0	0	0	0.755	0	0	0.168	0.799
VC_0097	VC_2199	243277.VC_0097	243277.VC_2199	0.097	0	0	0	0.761	0	0	0.168	0.804
VC_0097	VC_2125	243277.VC_0097	243277.VC_2125	0.097	0	0	0	0.761	0	0	0.168	0.804
VC_0097	VC_2064	243277.VC_0097	243277.VC_2064	0.097	0	0.724	0	0.331	0	0	0.067	0.823
VC_0097	VC_0892	243277.VC_0097	243277.VC_0892	0.097	0	0.217	0	0.742	0	0	0.164	0.827
VC_0097	flgI	243277.VC_0097	243277.VC_2193	0.097	0	0.198	0	0.752	0	0	0.168	0.830
VC_0097	VC_2197	243277.VC_0097	243277.VC_2197	0.097	0	0.188	0	0.760	0	0	0.168	0.833
VC_0097	VC_2196	243277.VC_0097	243277.VC_2196	0.056	0	0.297	0	0.743	0	0	0.162	0.837
VC_0097	fliG	243277.VC_0097	243277.VC_2132	0.097	0	0.262	0	0.761	0	0	0.168	0.849
VC_0097	VC_2129	243277.VC_0097	243277.VC_2129	0.097	0	0.288	0	0.761	0	0	0.162	0.854
VC_0097	flgH	243277.VC_0097	243277.VC_2194	0.097	0	0.284	0	0.761	0	0	0.168	0.854
VC_0097	fliE	243277.VC_0097	243277.VC_2134	0.097	0	0.391	0	0.744	0	0	0.168	0.867
VC_0097	VC_2200	243277.VC_0097	243277.VC_2200	0.097	0	0.357	0	0.761	0	0	0.168	0.869
VC_0097	VC_2198	243277.VC_0097	243277.VC_2198	0.097	0	0.392	0	0.761	0	0	0.168	0.876
VC_0097	VC_2133	243277.VC_0097	243277.VC_2133	0.097	0	0.401	0	0.761	0	0	0.168	0.878
VC_0097	VC_2131	243277.VC_0097	243277.VC_2131	0.097	0	0.602	0	0.761	0	0	0.168	0.918
VC_0097	VC_2126	243277.VC_0097	243277.VC_2126	0.097	0	0.652	0	0.761	0.245	0	0.168	0.944
VC_0097	flgJ	243277.VC_0097	243277.VC_2192	0.220	0	0.621	0	0.974	0	0	0.370	0.994
VC_0400	VC_0097	243277.VC_0400	243277.VC_0097	0	0	0.402	0	0	0	0	0	0.402
VC_0400	epsM	243277.VC_0400	243277.VC_2724	0	0	0.409	0	0	0	0	0	0.409
VC_0400	epsC	243277.VC_0400	243277.VC_2734	0.097	0	0.298	0	0	0	0	0.165	0.424
VC_0400	epsN	243277.VC_0400	243277.VC_2723	0.097	0	0.385	0	0	0	0	0.068	0.437
VC_0400	VC_0406	243277.VC_0400	243277.VC_0406	0.762	0	0.329	0	0.069	0	0	0.073	0.844
VC_0400	VC_0411	243277.VC_0400	243277.VC_0411	0.522	0	0.769	0	0	0	0	0.069	0.888
